model,mse,rmse,mae,rank_by_rmse
Physics GNN,0.3957861065864563,0.6291153430938721,0.4512716829776764,1
Base GNN,0.5292527675628662,0.7274975776672363,0.5230739116668701,2
Random Forest,0.6029194593429565,0.7764788866043091,0.5228472352027893,3
