epoch,lr,train_mse,test_mse,epoch_seconds
1,0.001,1.5392558784885053,1.2926844841714036,20.496248400013428
2,0.000999938933078422,1.1132026055323314,1.0118005935803285,20.55115939999814
3,0.000999755747381037,0.9751247901813723,0.8631942783018153,20.598757200001273
4,0.000999450488106175,0.9084217919401644,0.9131285303044557,20.737658099998953
5,0.0009990232305719944,0.8728543239240115,0.8369893168867325,20.810879099997692
6,0.0009984740801978983,0.852794835315625,0.7735330046473778,20.79287849998218
7,0.0009978031724785245,0.8163797678289944,0.7320544725982926,20.89816520002205
8,0.000997010672950314,0.7845869304608435,0.8025106644882819,20.822498099994846
9,0.0009960967771506664,0.7688563276683938,0.6903151302906746,21.046865600015735
10,0.0009950617105696957,0.7489330451677837,0.7516860644221557,21.145588199986378
11,0.0009939057285945929,0.7337277761422685,0.6795964045451159,20.888272199983476
12,0.0009926291164466126,0.7162284744466507,0.6468210359126649,20.771089700021548
13,0.0009912321891107005,0.7017197879612888,0.6874281479936319,20.765252400015015
14,0.0009897152912577737,0.6914194987986163,0.6345654742110102,20.93458970001666
15,0.0009880787971596797,0.6818304091001754,0.6253230356375589,20.757805400004145
16,0.0009863231105968495,0.6666754469233332,0.6748884746650865,20.913785599987023
17,0.000984448664758672,0.6637776560086518,0.6342824170569584,20.91862250000122
18,0.0009824559221366096,0.647893756329626,0.6237487170294171,20.765518000000156
19,0.0009803453744100864,0.6402354399053399,0.6181318695842137,21.740791499993065
20,0.0009781175423251728,0.6350283739486255,0.6246262837359241,23.288097999989986
21,0.0009757729755661004,0.6265114238391017,0.5859593157601146,28.855188800022006
22,0.0009733122526196342,0.6150058212606839,0.6485339063011694,24.373810700024478
23,0.000970735980632341,0.6113607062437315,0.5785347466818781,21.73669510000036
24,0.0009680447952607838,0.6069491524438669,0.5714425482233139,21.85765389999142
25,0.0009652393605146839,0.6017728348459151,0.6072089107727145,21.349906800023746
26,0.0009623203685930864,0.5949180445329937,0.5512661851508892,21.394253999984358
27,0.00095928853971357,0.5893253879719149,0.5554227918795335,21.21202369997627
28,0.0009561446219345448,0.5837610119742045,0.5623300520373405,21.400551099999575
29,0.0009528893909706791,0.5774589705875431,0.5408595259659664,21.365963700023713
30,0.0009495236500015041,0.5713836318066313,0.570357540433078,21.32703600000241
31,0.0009460482294732414,0.5706041437728703,0.538994400134152,21.462556400016183
32,0.0009424639868939027,0.5625916915795294,0.5454518354487564,21.47626450000098
33,0.0009387718066217117,0.5671573672445052,0.5323918191577625,21.484940099995583
34,0.000934972599646904,0.5551929865455277,0.5565021485585689,21.607687500014435
35,0.0009310673033669515,0.5526491072321307,0.5374346302175392,21.592465199995786
36,0.0009270568813552751,0.5466876473096426,0.5120866812058609,21.75213549999171
37,0.0009229423231234969,0.5466857533120311,0.5180661090695826,21.50458880001679
38,0.0009187246438772933,0.5391675604052165,0.5246506364842487,21.737853900005575
39,0.0009144048842659075,0.5411057195561492,0.5129039911175638,21.467004000005545
40,0.0009099841101253861,0.5316249570386959,0.514036971690316,21.52263789999415
41,0.0009054634122155986,0.530589023068676,0.503557751593949,21.565369799995096
42,0.0009008439059511095,0.5271745580107231,0.5296629321788372,21.558382800023537
43,0.0008961267311259663,0.525418265329391,0.5257745641462894,23.256390300026396
44,0.0008913130516324727,0.5190115536625102,0.5126666013717597,22.451573400001507
45,0.0008864040551740151,0.5194590233256672,0.5052097688530529,21.984292299981462
46,0.0008814009529720148,0.5168845861715106,0.5339579728817135,26.908376399980625
47,0.000876304979467077,0.5124887110766382,0.4947064382393869,30.065268600010313
48,0.0008711173920144112,0.512511355007842,0.4829130076273701,21.63956199999666
49,0.0008658394705735982,0.5062910239421144,0.4907286204558552,21.636901699996088
50,0.0008604725173927781,0.5050016966998135,0.4861679031409099,32.63787269999739
51,0.0008550178566873404,0.5092616427986209,0.49188528703564455,83.46741700000712
52,0.000849476834313195,0.5010528306590029,0.4953897213363655,27.836468599998625
53,0.0008438508174347004,0.4984870188249722,0.47975301711119306,21.597445999999763
54,0.0008381411941873373,0.49849201969476065,0.48810380015488214,27.673933299985947
55,0.0008323493733352072,0.4941134373251291,0.47548162966320856,21.98554829999921
56,0.0008264767839234404,0.4947544866692334,0.4826705891829907,22.135986999986926
57,0.0008205248749256009,0.49136399381306345,0.4858601852467305,22.378418100008275
58,0.0008144951148861735,0.488608095037785,0.48576300245423454,21.531546199985314
59,0.000808388991558223,0.4871175535809672,0.5338813144373813,21.335596000018995
60,0.0008022080115363122,0.48488651923672976,0.4731204954520561,21.225886900007026
61,0.0007959536998847738,0.4858175910326498,0.4666752687014707,22.09660150000127
62,0.0007896275997614225,0.47929954095088334,0.47557022614888533,44.2083196999738
63,0.0007832312720368043,0.4793652757326871,0.4759834561467503,22.888261099986266
64,0.0007767662949090748,0.4739131711131251,0.48258200391803013,22.28101879998576
65,0.0007702342635146029,0.4748920465585408,0.46769854743803135,21.93673490002402
66,0.0007636367895343943,0.47626285212016073,0.4758604492814348,21.936962300009327
67,0.0007569755007964334,0.46945819736374433,0.4722037541719153,21.752844400005415
68,0.0007502520408740414,0.46993550411752627,0.4682074536991852,21.975548500020523
69,0.0007434680686803487,0.46865763895821244,0.4682539343587915,22.182084300002316
70,0.0007366252580589836,0.4658898969044846,0.46493372525794163,22.21853660000488
71,0.0007297252973710753,0.46396842569757435,0.4571588831624946,21.746149999991758
72,0.0007227698890786776,0.4612558295281575,0.45508260627864777,21.764322100003483
73,0.0007157607493247106,0.45855053599380274,0.4517374035313674,21.707989200018346
74,0.0007086996075095286,0.4622015111421141,0.45294155596903185,21.762010799982818
75,0.000701588205864216,0.4555077109257216,0.44360555647418776,21.55256649997318
76,0.0006944282990207192,0.45598909083213096,0.4574139757736679,25.208428299985826
77,0.0006872216535789154,0.45551974258660305,0.4513413471892597,22.596120800008066
78,0.000679970047670732,0.4570540113454746,0.4904119997229179,21.654357600025833
79,0.000672675270521419,0.45111504963192744,0.4513693072550133,21.683020900003612
80,0.0006653391220080837,0.4513259859298481,0.44739983893030305,21.601762900012545
81,0.0006579634122155987,0.44745103368962896,0.4436619839011978,21.5851634000137
82,0.0006505499609899902,0.44636045978228395,0.4443120828917937,23.033016600005794
83,0.0006431005974894183,0.4451472116821468,0.44808489445853333,25.930458299990278
84,0.0006356171597328592,0.44299394395257924,0.45447092948032064,21.68110539999907
85,0.0006281014941466027,0.44128157640919446,0.45029900020543856,21.566980800009333
86,0.0006205554551086729,0.44229184201001887,0.44926214649565477,21.28104230001918
87,0.0006129809044912883,0.4404770943637945,0.4440371683707011,21.53608809999423
88,0.0006053797112014734,0.44081178116072195,0.4639920662967122,21.434110500005772
89,0.0005977537507199335,0.43926429044423115,0.4376464507010066,21.35862719998113
90,0.0005901049046383073,0.4363042067599426,0.45413324286754847,21.34617039997829
91,0.000582435060194914,0.43450926282186625,0.44078849160653466,21.425097500003176
92,0.0005747461098091032,0.4374069732841727,0.4382655780571521,21.460173800005578
93,0.0005670399506143304,0.43209648012276647,0.4386531546937999,21.762865600001533
94,0.0005593184839900672,0.4323430089609599,0.43649816460329166,21.516910400008783
95,0.0005515836150926643,0.4303779624556854,0.43505163167715394,21.48848659999203
96,0.0005438372523852831,0.42757139443954834,0.43935231302790145,21.54702100000577
97,0.0005360813071670099,0.4287368323627455,0.4276458116161193,21.39989680002327
98,0.0005283176931012728,0.4260142687345092,0.441906088063754,22.5080319000117
99,0.0005205483257436733,0.42474498534789373,0.4335202374711428,63.378078899986576
100,0.000512775122069351,0.42139818246285504,0.4427807436800479,83.4197642999934
101,0.0005049999999999997,0.4239963023868311,0.4334414610528525,86.77243509999244
102,0.0004972248779306485,0.41943554607433053,0.4457571912915222,76.11871419998351
103,0.0004894516742563261,0.42122809874221456,0.4277600058594217,31.89146100002108
104,0.0004816823068987265,0.41910365772185354,0.438084428817536,21.911622699990403
105,0.0004739186928329895,0.4187412091914479,0.4295879352209825,21.965222200000426
106,0.00046616274761471644,0.41885646049431285,0.42642395476756073,21.86837840001681
107,0.0004584163849073351,0.4148507989036976,0.42233904125256116,21.838036900007864
108,0.0004506815160099323,0.4169971563168588,0.4262427306798909,21.892422799981432
109,0.00044296004938566917,0.4129481024730919,0.42480289138132893,21.73845629999414
110,0.00043525389019089645,0.41056519929926977,0.4258295091476758,21.695591700001387
111,0.0004275649398050855,0.41310936884532723,0.41991984503098906,21.742102799995337
112,0.000419895095361692,0.4102869001375575,0.43020600994821306,21.696539500000654
113,0.0004122462492800661,0.4092790250278691,0.41777608709376873,21.732022299984237
114,0.0004046202887985262,0.40810601461428453,0.4167101153214159,21.5626171999902
115,0.0003970190955087114,0.4088051994327266,0.42350487659479275,21.410691900004167
116,0.0003894445448913266,0.4041877702991323,0.4275490300325623,21.460541900014505
117,0.00038189850585339664,0.40593465763130454,0.42017661077258156,21.502243900002213
118,0.0003743828402671402,0.40523152817719793,0.415828013540148,21.43126530002337
119,0.0003668994025105813,0.402773665293435,0.4190893580680565,21.16506249998929
120,0.00035945003901000934,0.40376203719660075,0.4268075511603779,21.21046010000282
121,0.0003520365877844009,0.4025794841012559,0.4141067122993505,21.332373499986716
122,0.00034466087799191577,0.3985481412779034,0.423219644022684,21.411802600021474
123,0.0003373247294785805,0.4006526736179678,0.4190628940294573,21.565420600003563
124,0.00033002995232926755,0.3989319140795565,0.4163793516023753,21.906893700012006
125,0.0003227783464210843,0.3975339775387778,0.4118517989978731,21.56112659999053
126,0.00031557170097928043,0.39916664605010205,0.41254450560126327,21.503517500008456
127,0.0003084117941357833,0.39575274960077894,0.4159215295410914,21.72356640000362
128,0.00030130039249047096,0.3952353332218187,0.41158059863064345,21.351014200015925
129,0.00029423925067528886,0.395230210789626,0.41404999547763316,21.29662839998491
130,0.0002872301109213218,0.3948765143673509,0.41891615898716583,21.276723899994977
131,0.0002802747026289242,0.39061326540902347,0.4128332334150714,21.275397799996426
132,0.00027337474194101606,0.3914914203170315,0.4139744175078603,23.28153680000105
133,0.00026653193131965066,0.39244927315229783,0.4098565099860475,22.478351500001736
134,0.000259747959125958,0.3916908440185889,0.4097205208751211,21.82462630001828
135,0.000253024499203566,0.3899837957626361,0.40977005424035556,22.145402499998454
136,0.00024636321046560516,0.3883475574283145,0.41274536691830127,21.382641999982297
137,0.00023976573648539637,0.3868035619492871,0.40624384484607423,21.46894130000146
138,0.00023323370509092454,0.38683490977824525,0.4098914001982245,21.42102629999863
139,0.00022676872796319514,0.38484825584207444,0.40756270033504016,21.309672500006855
140,0.00022037240023857696,0.3865043854714351,0.41345155703901637,21.36358669999754
141,0.0002140463001152257,0.3857560513989145,0.40649901203195865,21.623737999994773
142,0.00020779198846368732,0.3836439968221534,0.40691594569530093,21.737578000000212
143,0.00020161100844177644,0.3842997667788639,0.4099497965055779,21.72043330001179
144,0.00019550488511382578,0.3836951784303791,0.40480523275127245,21.88817730001756
145,0.00018947512507439844,0.3817675592797635,0.40735190619676864,21.38016180001432
146,0.00018352321607655901,0.38296119914655885,0.4034648652826956,21.515712299995357
147,0.00017765062666479228,0.3790284931992278,0.402693860237101,22.054221400001552
148,0.00017185880581266203,0.38052821688756644,0.40254312944333875,21.93711859997711
149,0.00016614918256529896,0.3793512259219971,0.40453615693303074,22.046494400012307
150,0.00016052316568680432,0.3778777160675876,0.4012551326709705,21.79877709998982
151,0.0001549821433126589,0.3781566630533818,0.40483665402300856,21.507892699999502
152,0.00014952748260722149,0.37777740460082515,0.4018933243131858,21.43034599997918
153,0.0001441605294264013,0.3774894289407564,0.40418421962917495,22.60792889998993
154,0.00013888260798558812,0.37656809046646966,0.401892196759909,21.961120299994946
155,0.00013369502053292248,0.37497096343078007,0.40236158531013805,21.493073900026502
156,0.0001285990470279846,0.3779958113817267,0.4014807618921258,21.284992299973965
157,0.0001235959448259843,0.37509939147182664,0.40194845014964775,21.286939899990102
